iiif_url,localIdentifier
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1021,51f4c24464f27a8ba99eafcc475fa2a8402e6d63
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1022,7181083cf848b8ecdd0c62b69350da208d40ed14
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1023,eea2598cbfcefa605c4a063542505b46dde174a2
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1024,a236eb6318eb7b691a59a5ac71abcd1a767e356e
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1025,6fae4f63a7910b1a98f441ca320b656b37d1eeb1
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1026,d447da6f041c9b4db9b1ffcece85f9ad52d60df8
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1027,208f30347943e031fbc4d13d513cdc07d7e1ec7e
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1028,f0b2b5664787616c18bf557039ce3c2349127fd8
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1029,a42d517fec186aaa7414b7bf6a6820825ce5b2f4
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1030,63c239e65d127c59eae4e3b00d98b00b0af3ce8a
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1031,6b27e1c9f980527540b0631d50404c61c27b11cd
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1032,8a9862740d63c3b655cc0a9466f1b2373b6e4a64
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1033,3122ef7d317ea5e19155977613871e0cea9cb25b
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1034,036176464c4aa2cf7278f24f7d15a0b6486dc354
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1035,08fe4b20bb3539fd041647fd1b757ee0f5651ddb
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1036,751d4ce7a113812bed02f76f00b9fc4d3e38dfe9
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1037,512cd9125c215515b96400375584b09dda427bce
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1038,c0662c83b36658e0bb69c4f6c71ecb49736ba80d
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1039,a90074c556abfba815f3964681088616999c6569
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1040,87b682ed6ee7d7a921c8a1ea9826a57a60539597
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1041,4c51d8c3166389bae1958e40a0eef2dd9a915daf
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1042,28a76f93ccf94907482fd46698645bcaf3a5a331
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1043,6a3c291a2ae5d383f0aeb471256d2290815e043f
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1044,228835d17b51ef36f1422adfcbb59a65fbd787ee
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1045,5f2ad5dcd67449b018e4cb18951bb3e78c4af3cb
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1046,17b820f74cbe3c245226d568b73fe816fb576058
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1047,7e896638a04a8999d8af46d2fb1405553e0e00bc
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1048,60c863f34cbb0d556c67105e7707b2292101ddb4
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1049,0d03da51af27e59add73f4de0effc40440704b25
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1050,bf18c5f3de098406fc2ebb8a846ae15dbe594eca
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1051,083f3c1c31358bda7c01d77fbf8f0bbc80948d49
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1052,caff954cc3d9a9820dd8756079eaadd49f69f4a3
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1053,b1371d3a396c5a875de084bce473a8ec3d31daf1
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1054,0192dceb622c1f4d91cb06c68fce664c75977ef6
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1055,1c54c2ce514df48b7ce2501c663d6bd541a2fe21
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1056,33b12f7602449c89f31b6e4b8d1d1c3e711d3044
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1057,4e377765fa92c21319ce14ffb7ff055dc76caf44
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1058,65e155991b3d38be38ae701ad732a45a02d515c6
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1059,e0b591a4a000f809d20bce5a9159003404e62691
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1060,0e5b72ec30af7c7b17201554cc1f75fb9ccfe561
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1061,d1b980efb5c40ce69ed1f5050e287d6d70bedb6c
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1062,68449ba4399636e8b30ac7084ad6f3a4ade0a341
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1063,24a0e0e6c821fe8339161d3332be502414da3af8
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1064,518126c34fe9cb5a525d163ccd2fcb6d60e857f5
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1065,07398cee0beb6d6d88523ce4b9471d95672e7b3a
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1066,ea46fc0d820e2850f1668c60341c1da707d399c2
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1067,d8af305a8d4e9bf9404033b736ef55329f0592c3
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1068,91c3de6dbc49f90994a4bbaef8f4893aad81aafa
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1069,d045e946f6d0b5314091240139780de44441590e
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1070,95eae90cc5bff602257c2e5b09dadeb45a8aaa1f
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1071,0f05b1f395835d257c2a85bbb98c831f27bdada8
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1072,1ae01b884746cc52813cce73cb8d5861c88fa601
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1073_b,8d2441a875aa720601db125db25e3ccec9472d8e
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1074,28627cd55d10298581403c66ad59b4217217247a
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1075,a3f1a226de856fff7ee3ece66b0a7dd3e3bf8a4f
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1076_b,f969cc22c59c70b0dccbd1c9a26c6ce0811fe79c
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1077,d62c6dfea7b22db04fc399ce673acebd9abc8db0
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1078,400204f2ecadb0ac99bfa536fe116336bc029ba3
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1079,7fea87b792b49727f68f3f4cf3a8c08bcc8b7d16
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1080,0ee949110523004962a185b54d52ffe66ec3375d
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1081,f15ce5cde850003c91711fc667e4c8397a59eb9f
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1082,5aad31f98e5fe820ca87cfac1160862a5e4a2393
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1083,720a60f39c1d8c54f12a8c33a48c80b7ae7187a4
https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1084,4d2b96aabd91b838572da9857691b2fc356239d8
